intake_year,school_name,la_code,estab_code,dfe_no,criterion,criterion_category,criterion_description,priority,criterion_offers
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Catholic Resident outside Parish,Religion,"Catholic children without a brother or sister at the time of admission, who are not resident in the Cranleigh and Bramley parish. 6 Other LAC & PLAC. 7 Catechumens, Candidates for Reception into the Church and children who are members of an Orthodox Church",5,1
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,LAC & PLAC,Priority,Looked after and previously looked after children,6,0
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Catechumens,Religion,"Catechumens, Candidates for Reception into the Church and children who are members of an Orthodox Church",7,3
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",8,3
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Practising Christian worship,Religion,Children of other Christian denominations whose membership is evidenced by a minister of religion,9,4
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Practising other worship,Religion,Children of other faiths whose membership is evidence by a religious leader,10,0
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",11,5
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,12,0
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,EHCP,Priority,"Children with an Education, Health and Care Plan",13,0
2021,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,Lates,Central & Lates,Places offered to children of applicants who had applied late,14,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Catholic LAC & PLAC,Priority,Catholic looked after and previously looked after children,1,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Catholic Exceptional,Priority,Catholic children with an exceptional or compelling need that can only be met at St Edmund’s Catholic Primary School,2,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Catholic Sibling Resident in Parish,Religion,"Catholic children with a brother or sister at the school at the time of admission, resident in the parish of Godalming, whose parent/carer attends Sunday Mass at least once a month",3,15
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Catholic Sibling,Religion,"Catholic children with a brother or sister at the school at the time of admission, who are not resident in the parish of Godalming, whose parent/carer attends Sunday Mass at least once a month",4,1
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Catholic Resident in Parish,Religion,"Catholic children without a brother or sister at the school at the time of admission, resident in the parish of Godalming, whose parent/carer attends Sunday Mass at least once a month",5,14
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Catholic Resident outside Parish,Religion,"Catholic children without a brother or sister at the school at the time of admission, who are not resident in the parish of Godalming, whose parent/carer attends Sunday Mass at least once a month",6,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Other Catholic,Religion,Other Catholic children,7,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,LAC & PLAC,Priority,Looked after and previously looked after children,8,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Exceptional,Priority,Exceptional social/medical need,9,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Catechumens,Religion,"Catechumens, Candidates for Reception into the Church and children who are members of an Orthodox Church",10,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",11,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",12,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,13,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,EHCP,Priority,"Children with an Education, Health and Care Plan",14,0
2021,St Edmund's Catholic Primary School,936,3462,936/3462,Lates,Central & Lates,Places offered to children of applicants who had applied late,15,0
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,LAC & PLAC,Priority,Looked after and previously looked after children,1,1
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,Exceptional,Priority,Exceptional social/medical need,2,0
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,9
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,Children of staff,Family Ties,Children of staff where the member of staff has been employed at the school for two or more years and/or the member of staff has been recruited to fill a vacant post for which there is a demonstrable skills shortage. ,4,0
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,Practising worship (specified church),Religion,"Children resident in the Ecclesiastical Parishes of Elstead, Thursley or Shackleford with Peper Harow, and who worship with their parents regularly at the churches of St James, St Michael and All Angels, St Mary The Virgin or St Nicholas ",5,2
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,Practising worship in Parish,Religion,"Children resident in the Ecclesiastical Parishes of Elstead, Thursley or Shackleford with Peper Harow and who worship with their parents regularly within other churches or faiths. ",6,1
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,Resident in Parish,Defined Residence,Children resident in the Ecclesiastical Parishes of Elstead or Thursley or Shackleford with Peper Harow. ,7,6
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,"Practising worship (specified church), resident outside Parish",Religion,"Children resident outside the Ecclesiastical Parishes of Elstead, Thursley or Shackleford with Peper Harow, and who worship with their parents regularly at the churches of St James, St Michael and All Angels, St Mary The Virgin, St Nicholas or within other churches or faiths. ",8,0
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,Others by Distance,Distance,"Children resident outside the Ecclesiastical Parishes of Elstead, Thursley or Shackleford with Peper Harow whose parents wish them to attend this church school. ",9,5
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,10,0
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,EHCP,Priority,"Children with an Education, Health and Care Plan",11,0
2021,St James Church of England (Aided) Primary School,936,3335,936/3335,Lates,Central & Lates,Places offered to children of applicants who had applied late,12,1
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,Exceptional,Priority,Exceptional social/medical need,2,0
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,Siblings,Family Ties,Children who have a sibling at the school at the time of application OR a sibling who has previously attended the school for a minimum of one year. ,3,13
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,Children of staff,Family Ties,Children of staff who have been employed at the school for at least 2 years by the closing date for applications OR who have been recruited to fill a vacant post for which there is a demonstrable skills shortage.,4,0
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,Nearest School,Defined Residence,Children for whom St John’s school is the nearest school admitting pupils of the same age ,5,3
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,Practising worship (specified church),Religion,"Children for whom St John’s is not the nearest school but who are, in priority order: a) children of parents who are regular worshippers at St John’s the Evangelist Church, Churt with Rushmoor",6,0
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,Practising worship,Religion,Children of parents who are regular worshippers at a Christian church of any denomination,7,1
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",8,13
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,9,0
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,EHCP,Priority,"Children with an Education, Health and Care Plan",10,0
2021,St John's Church of England (Aided) Infant School,936,3347,936/3347,Lates,Central & Lates,Places offered to children of applicants who had applied late,11,0
2021,St Mark & All Saints CofE Primary School,936,2043,936/2043,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,St Mark & All Saints CofE Primary School,936,2043,936/2043,Exceptional,Priority,Exceptional social/medical need,2,0
2021,St Mark & All Saints CofE Primary School,936,2043,936/2043,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,4
2021,St Mark & All Saints CofE Primary School,936,2043,936/2043,Resident in Parish,Defined Residence,Children of families living in the Parish of Godalming,4,6
2021,St Mark & All Saints CofE Primary School,936,2043,936/2043,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,0
2021,St Mark & All Saints CofE Primary School,936,2043,936/2043,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,1
2021,St Mark & All Saints CofE Primary School,936,2043,936/2043,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2021,St Mark & All Saints CofE Primary School,936,2043,936/2043,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2021,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,Exceptional,Priority,Exceptional social/medical need,2,0
2021,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,Resident in Parish,Defined Residence,"Families living within the ecclesiastical parish of Frensham which includes: Peakfield, Millbridge, Shortfield, Lane End, Dockenfield, West End, Spreakley and Moons Hil",3,7
2021,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,6
2021,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,Siblings of Former Pupils,Family Ties,"Children who have a sibling who has previously attended St Mary’s School, Frensham for a minimum of two years",5,0
2021,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,"Practising worship (specified church), resident outside Parish",Religion,"Children who live outside the ecclesiastical parish boundary but whose parents are regular worshippers at the church of St Mary the Virgin, Frensham or The Good Shepherd, Dockenfield",6,0
2021,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",7,7
2021,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,8,0
2021,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,EHCP,Priority,"Children with an Education, Health and Care Plan",9,0
2021,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,Lates,Central & Lates,Places offered to children of applicants who had applied late,10,2
2021,St Mary's Church of England Primary School,936,2020,936/2020,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,St Mary's Church of England Primary School,936,2020,936/2020,Exceptional,Priority,Exceptional social/medical need,2,0
2021,St Mary's Church of England Primary School,936,2020,936/2020,Siblings Resident in Parish,Family Ties,Siblings of existing pupils at the school who live within the parish boundary of Chiddingfold and who will still be on roll at the time of entry,3,15
2021,St Mary's Church of England Primary School,936,2020,936/2020,Resident in Parish,Defined Residence,Children living within the parish boundary of Chiddingfold,4,11
2021,St Mary's Church of England Primary School,936,2020,936/2020,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",5,3
2021,St Mary's Church of England Primary School,936,2020,936/2020,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,1
2021,St Mary's Church of England Primary School,936,2020,936/2020,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,0
2021,St Mary's Church of England Primary School,936,2020,936/2020,EHCP,Priority,"Children with an Education, Health and Care Plan",8,0
2021,St Mary's Church of England Primary School,936,2020,936/2020,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,0
2021,St Peter's Church of England Primary School,936,3345,936/3345,LAC & PLAC,Priority,Looked after and previously looked after children,1,1
2021,St Peter's Church of England Primary School,936,3345,936/3345,Exceptional,Priority,Exceptional social/medical need,2,0
2021,St Peter's Church of England Primary School,936,3345,936/3345,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,25
2021,St Peter's Church of England Primary School,936,3345,936/3345,Practising worship (specified church),Religion,"Children and /or a parent with a definite, current commitment to St Peter’s Church, Wrecclesham, another Christian church or a place of worship of another faith. ",4,1
2021,St Peter's Church of England Primary School,936,3345,936/3345,Others by Distance,Distance,Any other children whose parents wish them to attend St Peter’s CofE Primary School. ,5,31
2021,St Peter's Church of England Primary School,936,3345,936/3345,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2021,St Peter's Church of England Primary School,936,3345,936/3345,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2021,St Peter's Church of England Primary School,936,3345,936/3345,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Catholic Sibling Resident in Parish,Religion,"Catholic children with a brother or sister at the school at the time of admission, resident in one of the following parishes: Farnham; Ash with Heath End, Haslemere, Hindhead and Chiddingfold, whose parent/carer attends Sunday Mass at least once a month",2,14
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Catholic Sibling Resident outside Parish,Religion,"Catholic children with a brother or sister at the school at the time of admission, who are not resident in the parishes named above, whose parent/carer attends Sunday Mass at least once a month",3,1
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Catholic Resident in Parish,Religion,"Catholic children without a brother or sister at the school at the time of admission, resident in the parishes named in criterion 2 whose parent/carer attends Sunday Mass at least once a month",4,13
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Catholic Resident outside Parish,Religion,"Catholic children without a brother or sister at the school at the time of admission, who are not resident in the named parishes in criterion 2 whose parent/carer attends Sunday Mass at least once a month",5,6
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Other Catholic,Religion,Other Catholic children,6,6
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Catechumens,Religion,"Catechumens, Candidates for Reception into the Church and children who are members of an Orthodox Church",7,0
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",8,2
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Practising Christian worship,Religion,Children of other Christian denominations whose membership is evidenced by a minister of religion,9,1
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Practising other worship,Religion,Children of other faiths whose membership is evidenced by a religious leader,10,1
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",11,7
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,12,0
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,EHCP,Priority,"Children with an Education, Health and Care Plan",13,0
2021,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,Lates,Central & Lates,Places offered to children of applicants who had applied late,14,0
2021,William Cobbett Primary School,936,2478,936/2478,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,William Cobbett Primary School,936,2478,936/2478,Exceptional,Priority,Exceptional social/medical need,2,0
2021,William Cobbett Primary School,936,2478,936/2478,Children of staff,Family Ties,Children of staff,3,0
2021,William Cobbett Primary School,936,2478,936/2478,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,19
2021,William Cobbett Primary School,936,2478,936/2478,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,5,11
2021,William Cobbett Primary School,936,2478,936/2478,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,0
2021,William Cobbett Primary School,936,2478,936/2478,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,0
2021,William Cobbett Primary School,936,2478,936/2478,EHCP,Priority,"Children with an Education, Health and Care Plan",8,0
2021,William Cobbett Primary School,936,2478,936/2478,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,0
2021,Witley Church of England (Controlled) Infant School,936,3060,936/3060,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Witley Church of England (Controlled) Infant School,936,3060,936/3060,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Witley Church of England (Controlled) Infant School,936,3060,936/3060,Children of staff,Family Ties,Children of staff,3,0
2021,Witley Church of England (Controlled) Infant School,936,3060,936/3060,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,6
2021,Witley Church of England (Controlled) Infant School,936,3060,936/3060,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,5,17
2021,Witley Church of England (Controlled) Infant School,936,3060,936/3060,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",6,7
2021,Witley Church of England (Controlled) Infant School,936,3060,936/3060,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,7,0
2021,Witley Church of England (Controlled) Infant School,936,3060,936/3060,EHCP,Priority,"Children with an Education, Health and Care Plan",8,0
2021,Witley Church of England (Controlled) Infant School,936,3060,936/3060,Lates,Central & Lates,Places offered to children of applicants who had applied late,9,0
2021,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,Exceptional,Priority,Exceptional social/medical need,2,0
2021,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,13
2021,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,Resident in Parish,Defined Residence,"Children living in the civil parish of Wonersh (which includes Blackheath, Shamley Green and Wonersh) or in the ecclesiastical parishes of Shamley Green (which includes most of Rowly) or Wonersh with Blackheath",4,17
2021,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,"Practising worship (specified church), resident outside Parish",Religion,Children living outside the areas specified in criterion 4 who can show regular attendance at a Christian church situated in the civil parish of Wonersh or in the ecclesiastical parishes of Shamley Green or Wonersh with Blackheath,5,0
2021,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,Practising worship,Religion,"Children living outside the areas specified in criterion 4 who can show regular attendance at a Christian church, which is also outside the areas specified in criterion 4",6,0
2021,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,Others by Distance,Distance,Children living outside the area specified in criterion 4 whose parents wish their child to attend this Church of England School,7,0
2021,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,8,0
2021,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,EHCP,Priority,"Children with an Education, Health and Care Plan",9,0
2021,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,Lates,Central & Lates,Places offered to children of applicants who had applied late,10,0
