"URN","LA (code)","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
116286,"850","St James Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","7.8","Havant","Good"
116288,"850","Four Marks Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.9","East Hampshire","Outstanding"
116289,"850","Froxfield Church of England Primary and Pre-School","Local authority maintained schools","Primary","Church of England","4.7","East Hampshire","Good"
116290,"850","Grayshott Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","3.9","East Hampshire","Good"
116292,"850","Horndean Church of England Junior School","Local authority maintained schools","Primary","Church of England","8.6","East Hampshire","Good"
116293,"850","Hurstbourne Tarrant Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.8","Test Valley","Outstanding"
116294,"850","Hyde Church of England Primary School","Local authority maintained schools","Primary","Church of England","19.1","New Forest","Good"
116295,"850","Kingsclere Church of England Primary School","Local authority maintained schools","Primary","Church of England","12.1","Basingstoke and Deane","Good"
116296,"850","King's Somborne Church of England Primary School","Local authority maintained schools","Primary","Church of England","8.6","Test Valley","Good"
116297,"850","St John the Baptist Church of England Primary School","Local authority maintained schools","Primary","Church of England","14.2","Fareham","Good"
116298,"850","Long Sutton Church of England Primary School","Local authority maintained schools","Primary","Church of England","3.4","Hart","Good"
116299,"850","Marchwood Church of England Infant School","Local authority maintained schools","Primary","Church of England","10.5","New Forest","Good"
116300,"850","Medstead Church of England Primary School","Local authority maintained schools","Primary","Church of England","7.7","East Hampshire","Good"
116301,"850","Meonstoke Church of England Infant School","Local authority maintained schools","Primary","Church of England","4.2","Winchester","Outstanding"
116302,"850","Netley Marsh Church of England Infant School","Local authority maintained schools","Primary","Church of England","3.4","New Forest","Good"
116303,"850","Nursling Church of England Primary School","Local authority maintained schools","Primary","Church of England","16.3","Test Valley","Good"
116304,"850","Otterbourne Church of England Primary School","Local authority maintained schools","Primary","Church of England","2.5","Winchester","Outstanding"
116305,"850","Overton Church of England Primary School","Local authority maintained schools","Primary","Church of England","7.9","Basingstoke and Deane","Outstanding"
116306,"850","Oakley Church of England Junior School","Local authority maintained schools","Primary","Church of England","3.2","Basingstoke and Deane","Good"
116307,"850","Pennington Church of England Junior School","Local authority maintained schools","Primary","Church of England","31.5","New Forest","Requires improvement"
116308,"850","Preston Candover Church of England Primary School","Local authority maintained schools","Primary","Church of England","1.6","Basingstoke and Deane","Outstanding"
116309,"850","Ringwood Church of England Infant School","Local authority maintained schools","Primary","Church of England","9.7","New Forest","Outstanding"
116310,"850","Rowlands Castle St John's Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","12.9","East Hampshire","Good"
116311,"850","Rownhams St John's Church of England Primary School","Local authority maintained schools","Primary","Church of England","6.3","Test Valley","Good"
116312,"850","Ropley CofE Primary School","Local authority maintained schools","Primary","Church of England","3.2","East Hampshire","Good"
116313,"850","Sarisbury Church of England Junior School","Local authority maintained schools","Primary","Church of England","9.1","Fareham","Outstanding"
116314,"850","St John the Baptist Church of England Primary School","Local authority maintained schools","Primary","Church of England","9.3","Winchester","Good"
116315,"850","Sherborne St John Church of England Primary School","Local authority maintained schools","Primary","Church of England","1.7","Basingstoke and Deane","Good"
116316,"850","South Baddesley Church of England Primary School","Local authority maintained schools","Primary","Church of England","5","New Forest","Good"
116317,"850","Sparsholt Church of England Primary School","Local authority maintained schools","Primary","Church of England","7.4","Winchester","Outstanding"
116318,"850","St Luke's Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.5","New Forest","Outstanding"
116319,"850","Steep Church of England Voluntary Controlled Primary School","Local authority maintained schools","Primary","Church of England","6.1","East Hampshire","Good"
116320,"850","Twyford St Mary's Church of England Primary School","Local authority maintained schools","Primary","Church of England","8.3","Winchester","Good"
116321,"850","Vernham Dean Gillum's Church of England Primary School","Local authority maintained schools","Primary","Church of England","3.6","Test Valley","Requires improvement"
116322,"850","West Meon Church of England Voluntary Controlled Primary School","Local authority maintained schools","Primary","Church of England","10.6","Winchester","Good"
116323,"850","West Tytherley Church of England Primary School","Local authority maintained schools","Primary","Church of England","10.2","Test Valley","Good"
116324,"850","Whitchurch Church of England Primary School","Local authority maintained schools","Primary","Church of England","7.6","Basingstoke and Deane","Good"
116325,"850","Wickham Church of England Primary School","Local authority maintained schools","Primary","Church of England","13.8","Winchester","Good"
116326,"850","All Saints Church of England Primary School","Local authority maintained schools","Primary","Church of England","16.5","Winchester","Good"
116327,"850","Western Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.6","Winchester","Good"
116328,"850","St Thomas' Church of England Infant School, Woolton Hill","Local authority maintained schools","Primary","Church of England","9","Basingstoke and Deane","Outstanding"
116329,"850","St Bede Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.5","Winchester","Outstanding"
116330,"850","Liphook Church of England Controlled Junior School","Local authority maintained schools","Primary","Church of England","7.4","East Hampshire","Good"
116331,"850","Saint James' Church of England Primary School","Local authority maintained schools","Primary","Church of England","10.5","Eastleigh","Good"
116332,"850","St Michael's Church of England Controlled Infant School","Local authority maintained schools","Primary","Church of England","11","Rushmoor","Outstanding"
116333,"850","St Michael's Church of England Controlled Junior School","Local authority maintained schools","Primary","Church of England","8.3","Rushmoor","Requires improvement"
116334,"850","Leesland Church of England Controlled Junior School","Local authority maintained schools","Primary","Church of England","23.4","Gosport","Good"
116335,"850","Leesland Church of England Controlled Infant School","Local authority maintained schools","Primary","Church of England","20.5","Gosport","Good"
116336,"850","Newtown Church of England Voluntary Controlled Primary School","Local authority maintained schools","Primary","Church of England","33.6","Gosport","Good"
116337,"850","Rowledge Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","4.2","East Hampshire","Good"
116338,"850","Bartley Church of England Junior School","Local authority maintained schools","Primary","Church of England","4.3","New Forest","Good"
116345,"850","Whitewater Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.1","Hart","Requires improvement"
116348,"850","Amport Church of England Primary School","Local authority maintained schools","Primary","Church of England","0","Test Valley","Good"
116349,"850","Appleshaw St Peter's CofE Primary School","Local authority maintained schools","Primary","Church of England","2.9","Test Valley","Good"
116350,"850","St Mary's Church of England Voluntary Aided Junior School","Local authority maintained schools","Primary","Church of England","3.4","Basingstoke and Deane","Good"
116351,"850","St Mary's Bentworth Church of England Primary School","Local authority maintained schools","Primary","Church of England","10.8","East Hampshire","Good"
116352,"850","St Matthew's Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","6.4","East Hampshire","Good"
116353,"850","William Gilpin Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.7","New Forest","Good"
116354,"850","Compton All Saints Church of England Primary School","Local authority maintained schools","Primary","Church of England","6.1","Winchester","Good"
116355,"850","Dogmersfield Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.5","Hart","Good"
116356,"850","St Martin's East Woodhay Church of England (Aided) Primary School","Local authority maintained schools","Primary","Church of England","0.8","Basingstoke and Deane","Good"
116357,"850","Charles Kingsley's Church of England Primary School","Local authority maintained schools","Primary","Church of England","5","Hart","Outstanding"
116358,"850","All Saints Church of England Aided Junior School","Local authority maintained schools","Primary","Church of England","9.1","Hart","Good"
116359,"850","Hatherden Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.4","Test Valley","Serious Weaknesses"
116360,"850","Andrews' Endowed Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.9","East Hampshire","Good"
116361,"850","John Keble Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.7","Winchester","Good"
116362,"850","St Alban's Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","11","Havant","Outstanding"
116363,"850","Lockerley Church of England Endowed Primary School","Local authority maintained schools","Primary","Church of England","7.4","Test Valley","Good"
116364,"850","Longparish Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.7","Test Valley","Outstanding"
116365,"850","Lymington Church of England Infant School","Local authority maintained schools","Primary","Church of England","5.6","New Forest","Outstanding"
116366,"850","St Michael and All Angels CofE Infant School","Local authority maintained schools","Primary","Church of England","2.5","New Forest","Good"
116368,"850","Romsey Abbey Church of England Primary School","Local authority maintained schools","Primary","Church of England","21.6","Test Valley","Good"
116369,"850","Silchester Church of England Primary School","Local authority maintained schools","Primary","Church of England","1.4","Basingstoke and Deane","Good"
116370,"850","Smannell and Enham Church of England (Aided) Primary School","Local authority maintained schools","Primary","Church of England","10.2","Test Valley","Good"
116371,"850","Swanmore Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","9.3","Winchester","Good"
116372,"850","Upham Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","3.1","Winchester","Good"
116373,"850","Clatford Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.2","Test Valley","Outstanding"
116374,"850","St Faith's Church of England Primary School","Local authority maintained schools","Primary","Church of England","0","Winchester","Outstanding"
116375,"850","Kimpton, Thruxton and Fyfield Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.8","Test Valley","Good"
116376,"850","St Jude's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","10","Fareham","Good"
116377,"850","St Thomas More's Catholic Primary School, Havant","Local authority maintained schools","Primary","Roman Catholic","11","Havant","Good"
116378,"850","Our Lady and St Joseph Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","14.3","New Forest","Good"
116380,"850","St Bede's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","3","Basingstoke and Deane","Good"
116381,"850","St Peter's Catholic Primary School, Winchester","Local authority maintained schools","Primary","Roman Catholic","7.9","Winchester","Outstanding"
116382,"850","St John the Baptist Catholic Primary School, Andover","Local authority maintained schools","Primary","Roman Catholic","5.6","Test Valley","Outstanding"
116383,"850","St Swithun Wells Catholic Primary School, Chandlers Ford","Local authority maintained schools","Primary","Roman Catholic","4","Eastleigh","Good"
116387,"850","Western Downland Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","5.6","New Forest","Good"
116388,"850","St Peter's Church of England Aided Junior School","Local authority maintained schools","Primary","Church of England","9.4","Rushmoor","Requires improvement"
116389,"850","St Mark's Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","2.9","Rushmoor","Outstanding"
116390,"850","St Patrick's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","9.9","Rushmoor","Good"
116391,"850","St Bernadette's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","9.2","Rushmoor","Requires improvement"
116392,"850","Alverstoke Church of England Aided Junior School","Local authority maintained schools","Primary","Church of England","4.8","Gosport","Good"
116393,"850","St John's, Gosport Church of England Voluntary Aided Primary School","Local authority maintained schools","Primary","Church of England","24.4","Gosport","Good"
116394,"850","St Mary's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","19","Gosport","Requires improvement"
116399,"850","Selborne Church of England Primary School","Local authority maintained schools","Primary","Church of England","1.9","East Hampshire","Good"
116400,"850","St John's Church of England Voluntary Aided Primary School","Local authority maintained schools","Primary","Church of England","8.3","Basingstoke and Deane","Good"
116402,"850","St Francis Church of England Primary School","Local authority maintained schools","Primary","Church of England","1.2","Test Valley","Outstanding"
116403,"850","Crookham Church of England Aided Infant School","Local authority maintained schools","Primary","Church of England","0.6","Hart","Good"
116407,"850","The Westgate School","Local authority maintained schools","All-through","Does not apply","5.5","Winchester","Good"
116482,"850","Abbotswood Junior School","Local authority maintained schools","Primary","None","18.4","New Forest","Good"
116483,"850","Calmore Junior School","Local authority maintained schools","Primary","None","20.5","New Forest","Good"
116486,"850","Hordle CofE (VA) Primary School","Local authority maintained schools","Primary","Church of England","9.2","New Forest","Outstanding"
116488,"850","Ashley Junior School","Local authority maintained schools","Primary","None","19.4","New Forest","Good"
116489,"850","St Peter's Catholic Primary School, Waterlooville","Local authority maintained schools","Primary","Roman Catholic","6.4","Havant","Good"
116490,"850","Mill Rythe Infant School","Local authority maintained schools","Primary","None","14.3","Havant","Good"
124937,"936","Kingswood Primary School","Local authority maintained schools","Primary","Does not apply","2.9","Reigate and Banstead","Good"
124939,"936","Walton-on-the-Hill Primary School","Local authority maintained schools","Primary","Does not apply","4.3","Reigate and Banstead","Outstanding"
124946,"936","Charlwood Village Primary School","Local authority maintained schools","Primary","Does not apply","10.6","Mole Valley","Good"
124949,"936","North Downs Primary School","Local authority maintained schools","Primary","Does not apply","4.9","Mole Valley","Good"
124952,"936","Trumps Green Infant School","Local authority maintained schools","Primary","Does not apply","6.6","Runnymede","Outstanding"
124953,"936","Manorcroft Primary School","Local authority maintained schools","Primary","Does not apply","9.5","Runnymede","Good"
124955,"936","Ewell Grove Primary and Nursery School","Local authority maintained schools","Primary","Does not apply","6.1","Epsom and Ewell","Outstanding"
124956,"936","Epsom Primary and Nursery School","Local authority maintained schools","Primary","Does not apply","19.2","Epsom and Ewell","Good"
124959,"936","The Mead Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","2.3","Epsom and Ewell","Outstanding"
124964,"936","The Orchard Infant School","Local authority maintained schools","Primary","None","2.6","Elmbridge","Outstanding"
124966,"936","Long Ditton Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","5.1","Elmbridge","Good"
124967,"936","Thames Ditton Junior School","Local authority maintained schools","Primary","Does not apply","3.3","Elmbridge","Good"
124968,"936","Thames Ditton Infant School","Local authority maintained schools","Primary","Does not apply","2.6","Elmbridge","Outstanding"
124971,"936","Felbridge Primary School","Local authority maintained schools","Primary","Does not apply","1.9","Tandridge","Good"
124978,"936","Beacon Hill Community Primary School","Local authority maintained schools","Primary","Does not apply","4.5","Waverley","Good"
124979,"936","Shottermill Junior School","Local authority maintained schools","Primary","Does not apply","6.2","Waverley","Good"
124980,"936","Shottermill Infant School","Local authority maintained schools","Primary","Does not apply","5.8","Waverley","Outstanding"
124981,"936","Horley Infant School","Local authority maintained schools","Primary","Does not apply","5.5","Reigate and Banstead","Good"
124982,"936","Barnett Wood Infant School","Local authority maintained schools","Primary","Does not apply","4.6","Mole Valley","Outstanding"
124983,"936","Fetcham Village Infant School","Local authority maintained schools","Primary","Does not apply","7.6","Mole Valley","Outstanding"
124986,"936","Dormansland Primary School","Local authority maintained schools","Primary","Does not apply","7","Tandridge","Good"
124987,"936","Earlswood Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","13.6","Reigate and Banstead","Good"
124994,"936","Oatlands School","Local authority maintained schools","Primary","Does not apply","5.3","Elmbridge","Outstanding"
124996,"936","Bagshot Infant School","Local authority maintained schools","Primary","Does not apply","15.2","Surrey Heath","Good"
125003,"936","West Byfleet Infant School","Local authority maintained schools","Primary","Does not apply","7.1","Woking","Outstanding"
125004,"936","Wood Street Infant School","Local authority maintained schools","Primary","Does not apply","13.5","Guildford","Outstanding"
125005,"936","Shawley Community Primary School","Local authority maintained schools","Primary","Does not apply","15.7","Reigate and Banstead","Requires improvement"
125008,"936","The Greville Primary School","Local authority maintained schools","Primary","Does not apply","7","Mole Valley","Good"
125009,"936","Bushy Hill Junior School","Local authority maintained schools","Primary","None","12.3","Guildford","Good"
125010,"936","Hurst Green Infant School","Local authority maintained schools","Primary","Does not apply","21.4","Tandridge","Good"
125012,"936","Meath Green Junior School","Local authority maintained schools","Primary","Does not apply","8.6","Reigate and Banstead","Good"
125014,"936","Milford School","Local authority maintained schools","Primary","Does not apply","5.6","Waverley","Good"
125017,"936","Heather Ridge Infant School","Local authority maintained schools","Primary","Does not apply","5.6","Surrey Heath","Outstanding"
125019,"936","Oakfield Junior School","Local authority maintained schools","Primary","Does not apply","9.8","Mole Valley","Good"
125021,"936","Godstone Primary and Nursery School","Local authority maintained schools","Primary","None","21.6","Tandridge","Good"
125023,"936","Banstead Community Junior School","Local authority maintained schools","Primary","Does not apply","9.8","Reigate and Banstead","Good"
125025,"936","Worplesdon Primary School","Local authority maintained schools","Primary","Does not apply","8.8","Guildford","Good"
125026,"936","West Ashtead Primary School","Local authority maintained schools","Primary","Does not apply","7.7","Mole Valley","Requires improvement"
125028,"936","Prior Heath Infant School","Local authority maintained schools","Primary","Does not apply","3.4","Surrey Heath","Outstanding"
125029,"936","Shawfield Primary School","Local authority maintained schools","Primary","Does not apply","18.8","Guildford","Good"
125037,"936","The Grange Community Infant School","Local authority maintained schools","Primary","Does not apply","4.1","Runnymede","Good"
125038,"936","Hurst Park Primary School","Local authority maintained schools","Primary","Does not apply","7","Elmbridge","Good"
125042,"936","Ongar Place Primary School","Local authority maintained schools","Primary","Does not apply","18.9","Runnymede","Good"
125044,"936","Godalming Junior School","Local authority maintained schools","Primary","Does not apply","7.9","Waverley","Good"
125048,"936","Folly Hill Infant School","Local authority maintained schools","Primary","Does not apply","6.3","Waverley","Outstanding"
125049,"936","Moss Lane School","Local authority maintained schools","Primary","Does not apply","6.3","Waverley","Good"
125051,"936","Badshot Lea Village Infant School","Local authority maintained schools","Primary","Does not apply","5.6","Waverley","Good"
125052,"936","Polesden Lacey Infant School","Local authority maintained schools","Primary","Does not apply","2.5","Mole Valley","Outstanding"
125055,"936","Burhill Primary School","Local authority maintained schools","Primary","None","5.8","Elmbridge","Good"
125056,"936","Grovelands Primary School","Local authority maintained schools","Primary","Does not apply","19.3","Elmbridge","Good"
125058,"936","Bell Farm Primary School","Local authority maintained schools","Primary","Does not apply","14.9","Elmbridge","Good"
125060,"936","Audley Primary School","Local authority maintained schools","Primary","Does not apply","13","Tandridge","Good"
125065,"936","Meadowcroft Community Infant School","Local authority maintained schools","Primary","Does not apply","21.3","Runnymede","Good"
125066,"936","Stamford Green Primary School","Local authority maintained schools","Primary","Does not apply","5.2","Epsom and Ewell","Outstanding"
125067,"936","Onslow Infant School","Local authority maintained schools","Primary","Does not apply","4.6","Guildford","Good"
125068,"936","Earlswood Junior School","Local authority maintained schools","Primary","Does not apply","14.8","Reigate and Banstead","Good"
125069,"936","Holland Junior School","Local authority maintained schools","Primary","Does not apply","15.9","Tandridge","Good"
125070,"936","Reigate Priory Community Junior School","Local authority maintained schools","Primary","Does not apply","4.2","Reigate and Banstead","Outstanding"
125072,"936","Thorpe Lea Primary School","Local authority maintained schools","Primary","Does not apply","25","Runnymede","Good"
125073,"936","St Ann's Heath Junior School","Local authority maintained schools","Primary","Does not apply","7.1","Runnymede","Good"
125075,"936","Manby Lodge Infant School","Local authority maintained schools","Primary","Does not apply","6.8","Elmbridge","Good"
125077,"936","William Cobbett Primary School","Local authority maintained schools","Primary","Does not apply","9.6","Waverley","Good"
125079,"936","Tillingbourne Junior School","Local authority maintained schools","Primary","Does not apply","9.3","Guildford","Good"
125081,"936","West Byfleet Junior School","Local authority maintained schools","Primary","Does not apply","7.3","Woking","Good"
125083,"936","Meath Green Infant School","Local authority maintained schools","Primary","Does not apply","5.9","Reigate and Banstead","Outstanding"
125088,"936","Clarendon Primary School","Local authority maintained schools","Primary","Does not apply","10.7","Spelthorne","Good"
125094,"936","Chennestone Primary School","Local authority maintained schools","Primary","Does not apply","4.1","Spelthorne","Good"
125096,"936","Beauclerc Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","6.6","Spelthorne","Good"
125099,"936","Busbridge Infant School","Local authority maintained schools","Primary","Does not apply","5","Waverley","Outstanding"
125101,"936","Englefield Green Infant School and Nurseries","Local authority maintained schools","Primary","Does not apply","19.2","Runnymede","Good"
125104,"936","Langshott Primary School","Local authority maintained schools","Primary","Does not apply","8.4","Reigate and Banstead","Good"
125107,"936","Hythe Primary School","Local authority maintained schools","Primary","Does not apply","19.7","Runnymede","Good"
125108,"936","Claygate Primary School","Local authority maintained schools","Primary","Does not apply","7.5","Elmbridge","Requires improvement"
125113,"936","Ashford Park Primary School","Local authority maintained schools","Primary","Does not apply","16","Spelthorne","Good"
125116,"936","Ash Grange Nursery and Primary School","Local authority maintained schools","Primary","Does not apply","30.7","Guildford","Good"
125122,"936","Stepgates Community School","Local authority maintained schools","Primary","Does not apply","15.4","Runnymede","Good"
125124,"936","Lingfield Primary School","Local authority maintained schools","Primary","Does not apply","14.1","Tandridge","Good"
125125,"936","Chandlers Field Primary School","Local authority maintained schools","Primary","None","33.4","Elmbridge","Good"
125126,"936","Town Farm Primary School & Nursery","Local authority maintained schools","Primary","Does not apply","18.7","Spelthorne","Good"
125127,"936","Epsom Downs Primary School and Children's Centre","Local authority maintained schools","Primary","Does not apply","27.3","Reigate and Banstead","Good"
125130,"936","Furzefield Primary School","Local authority maintained schools","Primary","Does not apply","20.1","Reigate and Banstead","Good"
125135,"936","Walsh Memorial CofE Controlled Infant School","Local authority maintained schools","Primary","Church of England","12.5","Guildford","Outstanding"
125137,"936","Lyne and Longcross CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","11.3","Runnymede","Good"
125140,"936","Valley End CofE Infant School","Local authority maintained schools","Primary","Church of England","0.6","Surrey Heath","Outstanding"
125141,"936","St Martin's CofE Controlled Primary School, Dorking","Local authority maintained schools","Primary","Church of England","6.9","Mole Valley","Good"
125142,"936","St Martin's CofE (Aided) Junior School","Local authority maintained schools","Primary","Church of England","5.1","Epsom and Ewell","Good"
125143,"936","The Royal Kent CofE Primary School","Local authority maintained schools","Primary","Church of England","6","Elmbridge","Good"
125145,"936","Farncombe Church of England Infant School","Local authority maintained schools","Primary","Church of England","6.9","Waverley","Good"
125148,"936","St Paul's CofE Infant School","Local authority maintained schools","Primary","Church of England","24.4","Guildford","Good"
125149,"936","St Mary's CofE Voluntary Controlled Infant School","Local authority maintained schools","Primary","Church of England","9","Guildford","Outstanding"
125150,"936","St Mary's CofE Controlled Primary School, Byfleet","Local authority maintained schools","Primary","Church of England","8.9","Woking","Good"
125151,"936","Powell Corderoy Primary School","Local authority maintained schools","Primary","None","8.6","Mole Valley","Good"
125153,"936","Bisley CofE Primary School","Local authority maintained schools","Primary","Church of England","9.1","Surrey Heath","Good"
125156,"936","Walsh CofE Junior School","Local authority maintained schools","Primary","Church of England","17.7","Guildford","Requires improvement"
125157,"936","St Martin's CofE Aided Infant School, Epsom","Local authority maintained schools","Primary","Church of England","3.8","Epsom and Ewell","Outstanding"
125159,"936","Witley CofE Controlled Infant School","Local authority maintained schools","Primary","Church of England","8.5","Waverley","Good"
125160,"936","Merrow CofE Controlled Infant School","Local authority maintained schools","Primary","Church of England","10.5","Guildford","Outstanding"
125163,"936","St James CofE Primary School","Local authority maintained schools","Primary","Church of England","9.8","Elmbridge","Good"
125164,"936","St John's CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","8.5","Tandridge","Good"
125165,"936","St Peter and St Paul CofE Infant School","Local authority maintained schools","Primary","Church of England","9.2","Tandridge","Outstanding"
125167,"936","Chilworth CofE (Aided) Infant School","Local authority maintained schools","Primary","Church of England","12.2","Guildford","Outstanding"
125168,"936","St Lawrence CofE (Aided) Primary School","Local authority maintained schools","Primary","Church of England","14.8","Surrey Heath","Good"
125170,"936","St Michael's CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","3.3","Mole Valley","Good"
125171,"936","St Paul's CofE (Aided) Primary School","Local authority maintained schools","Primary","Church of England","7.1","Mole Valley","Outstanding"
125173,"936","St Jude's Church of England Junior School","Local authority maintained schools","Primary","Church of England","17.7","Runnymede","Good"
125174,"936","Thorpe CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","15.2","Runnymede","Good"
125175,"936","Christ Church CofE Aided Infant School, Virginia Water","Local authority maintained schools","Primary","Church of England","17","Runnymede","Good"
125176,"936","St James CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","8.3","Waverley","Good"
125178,"936","St Matthew's CofE Aided Infant School, Cobham","Local authority maintained schools","Primary","Church of England","4.8","Elmbridge","Outstanding"
125179,"936","St Lawrence CofE Aided Junior School, East Molesey","Local authority maintained schools","Primary","Church of England","3.8","Elmbridge","Good"
125180,"936","Long Ditton St Mary's CofE (Aided) Junior School","Local authority maintained schools","Primary","Church of England","8","Elmbridge","Good"
125181,"936","Ewhurst CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","3.3","Waverley","Outstanding"
125182,"936","St Peter's CofE Primary School","Local authority maintained schools","Primary","Church of England","7.6","Waverley","Good"
125183,"936","St Mary's CofE Aided Infant School, Frensham","Local authority maintained schools","Primary","Church of England","0","Waverley","Good"
125184,"936","St John's CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","4","Waverley","Outstanding"
125186,"936","Busbridge CofE Aided Junior School","Local authority maintained schools","Primary","Church of England","3.3","Waverley","Good"
125189,"936","St Nicolas CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","4.5","Guildford","Good"
125190,"936","St Giles' CofE (Aided) Infant School","Local authority maintained schools","Primary","Church of England","9.2","Mole Valley","Outstanding"
125191,"936","Limpsfield CofE Infant School","Local authority maintained schools","Primary","Church of England","5.6","Tandridge","Outstanding"
125192,"936","Newdigate CofE Endowed Aided Infant School","Local authority maintained schools","Primary","Church of England","12.5","Mole Valley","Good"
125193,"936","Nutfield Church CofE Primary School","Local authority maintained schools","Primary","Church of England","6.8","Tandridge","Good"
125194,"936","St Mary's CofE Primary School","Local authority maintained schools","Primary","Church of England","8.6","Tandridge","Outstanding"
125195,"936","Puttenham CofE Infant School","Local authority maintained schools","Primary","Church of England","1.8","Guildford","Outstanding"
125196,"936","Reigate Parish Church Primary  School","Local authority maintained schools","Primary","Church of England","1.7","Reigate and Banstead","Outstanding"
125197,"936","St Peter's CofE Infant School","Local authority maintained schools","Primary","Church of England","1.2","Tandridge","Outstanding"
125198,"936","All Saints CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","0","Waverley","Outstanding"
125199,"936","Clandon CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","31.5","Guildford","Requires improvement"
125200,"936","The Chandler CofE Aided Junior School","Local authority maintained schools","Primary","Church of England","11","Waverley","Good"
125201,"936","Horsell CofE Aided Junior School","Local authority maintained schools","Primary","Church of England","3.9","Woking","Good"
125202,"936","Wonersh and Shamley Green CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","5.5","Waverley","Good"
125203,"936","St Francis Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","8.8","Tandridge","Good"
125204,"936","St Joseph's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","10.1","Mole Valley","Good"
125205,"936","St Joseph's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","3.9","Epsom and Ewell","Outstanding"
125209,"936","St Cuthbert's Catholic Primary School, Englefield Green","Local authority maintained schools","Primary","Roman Catholic","4.3","Runnymede","Outstanding"
125211,"936","St Peter's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","3.3","Mole Valley","Outstanding"
125212,"936","St Paul's Catholic Primary School, Thames Ditton","Local authority maintained schools","Primary","Roman Catholic","4.7","Elmbridge","Good"
125214,"936","St Ignatius Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","6.3","Spelthorne","Good"
125215,"936","Our Lady of the Rosary RC Primary School","Local authority maintained schools","Primary","Roman Catholic","2.9","Spelthorne","Good"
125218,"936","Send CofE Primary School","Local authority maintained schools","Primary","Church of England","5.2","Guildford","Good"
125219,"936","St Anne's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","3.7","Reigate and Banstead","Good"
125220,"936","St Clement's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","4.7","Epsom and Ewell","Good"
125228,"936","Ashford CofE Primary School","Local authority maintained schools","Primary","Church of England","11.7","Spelthorne","Requires improvement"
125229,"936","Laleham CofE VA Primary School","Local authority maintained schools","Primary","Church of England","4.3","Spelthorne","Good"
125230,"936","St Nicholas CofE Primary School","Local authority maintained schools","Primary","Church of England","9.3","Spelthorne","Good"
125231,"936","Littleton CofE Infant School","Local authority maintained schools","Primary","Church of England","8.3","Spelthorne","Good"
125233,"936","St Michael Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","6","Spelthorne","Outstanding"
