school_key,urn,establishment_number,dfe_number,school_name,school_type,school_status,religious_character,statutory_low_age,statutory_high_age,percentage_fsm,administrative_district,school_capacity,census_date,number_of_pupils,number_of_boys,number_of_girls,number_of_fsm,ofsted_rating_name,ofsted_last_insp,street,locality,address3,town,county,postcode,school_website,telephone_num,head_title,head_first_name,head_last_name,head_preferred_job_title,ofsted_rating_score
215,116015,2285,850/2285,Manor Field Junior School,Local authority maintained schools,Open,Does not apply,7,11,36.7,Basingstoke and Deane,240,21-01-2021,226,119,107,83,Good,18-09-2018,Haydn Road,Brighton Hill,,Basingstoke,Hampshire,RG22 4DH,www.manorfield-jun.hants.sch.uk/,01256329826,Mr,Paul,Shakespeare,Headteacher,2
216,116016,2286,850/2286,Kempshott Junior School,Local authority maintained schools,Open,Does not apply,7,11,8.3,Basingstoke and Deane,384,21-01-2021,374,199,175,31,Good,12-01-2022,Old Down Close,Homesteads Road,Kempshott,Basingstoke,Hampshire,RG22 5LL,www.kempshott-jun.hants.sch.uk/,01256326713,Mrs,Fiona,Craig,Headteacher,2
220,148215,2288,850/2288,Weyford Nursery and Primary Academy,Academies,Open,Does not apply,2,11,19,East Hampshire,630,21-01-2021,404,205,199,75,Not reported,,Weyford Nursery and Primary Academy,,Mill Chase Road,Bordon,Hampshire,GU35 0ET,www.weyfordprimary.co.uk,01420472119,Ms,Julie,Smith,Interim Executive Headteacher,
221,116019,2289,850/2289,Ranvilles Junior School,Local authority maintained schools,Open,Does not apply,7,11,9.4,Fareham,267,21-01-2021,235,112,123,22,Good,25-04-2019,Oldbury Way,,,Fareham,Hampshire,PO14 3BN,http://www.ranvillesjuniorschool.co.uk,01329841679,Mrs,Angela,Williams,Headteacher,2
222,116020,2290,850/2290,Tweseldown Infant School,Local authority maintained schools,Open,Does not apply,4,7,11.1,Hart,360,21-01-2021,350,178,172,39,Outstanding,14-07-2009,Nepal Gardens,Church Crookham,,Fleet,Hampshire,GU52 8LL,http://www.tweseldowninfantschool.co.uk,01252628843,Mrs,Kim,Tottem,Headteacher,1
223,116021,2291,850/2291,Liss Infant School,Local authority maintained schools,Open,Does not apply,4,7,15.7,East Hampshire,180,21-01-2021,134,78,56,21,Requires improvement,16-05-2019,Hillbrow Road,,,Liss,Hampshire,GU33 7LQ,http://www.lissfederation.hants.sch.uk/,01730892666,Mrs,Jillian,Myers,Headteacher,3
225,116022,2297,850/2297,Purbrook Junior School,Local authority maintained schools,Open,Does not apply,7,11,20.3,Havant,383,21-01-2021,385,185,200,78,Good,16-11-2016,Aldermoor Road East,Purbrook,,Waterlooville,Hampshire,PO7 5NQ,http://www.purbrook-jun.hants.sch.uk,02392254577,Mr,Craig,Williams,Headteacher,2
226,116023,2298,850/2298,Marnel Community Infant School,Local authority maintained schools,Open,Does not apply,4,7,30.2,Basingstoke and Deane,360,21-01-2021,348,177,171,105,Outstanding,04-02-2010,Shetland Road,Popley Way,,Basingstoke,Hampshire,RG24 9PT,www.marnel-inf.hants.sch.uk,01256329521,Mrs,Susan,Giles-Cox,Headteacher,1
227,116024,2299,850/2299,Foxhills Infant School,Local authority maintained schools,Open,Does not apply,4,7,11.9,New Forest,180,21-01-2021,177,83,94,21,Good,08-02-2018,Foxhills,Colbury,,Southampton,Hampshire,SO40 7ED,www.foxhills-inf.hants.sch.uk,02380292453,Mrs,Lucy,Howe,Headteacher,2
228,116025,2300,850/2300,The Butts Primary School,Local authority maintained schools,Open,Does not apply,4,11,10.2,East Hampshire,316,21-01-2021,244,126,118,25,Good,19-06-2019,Bolle Road,,,Alton,Hampshire,GU34 1PW,www.butts.hants.sch.uk,0142084102,Mrs,Julia,Woodhouse,Headteacher,2
229,116026,2301,850/2301,Knights Enham Nursery and Infant School,Local authority maintained schools,Open,Does not apply,2,7,41.5,Test Valley,250,21-01-2021,203,111,92,68,Good,06-03-2018,King Arthurs Way,,,Andover,Hampshire,SP10 4BS,www.knightsenham-inf.hants.sch.uk/,01264352151,Mrs,Claire,Beazley,Acting Headteacher,2
231,116027,2304,850/2304,Bursledon Junior School(CA),Local authority maintained schools,Open,Does not apply,7,11,27.8,Eastleigh,360,21-01-2021,335,175,160,93,Good,14-11-2017,Long Lane,Bursledon,,Southampton,Hampshire,SO31 8BZ,www.bursledonschools.co.uk/,02380402738,Mrs,Kerry,Stamp,Executive Headteacher,2
232,116028,2306,850/2306,Ranvilles Infant School,Local authority maintained schools,Open,Does not apply,4,7,7.8,Fareham,180,21-01-2021,180,88,92,14,Outstanding,27-11-2009,Oldbury Way,,,Fareham,Hampshire,PO14 3BN,http://www.ranvilles-inf.hants.sch.uk/,01329841653,Miss,Kelly,Woodmore,Headteacher,1
234,116030,2309,850/2309,Northern Infant School,Local authority maintained schools,Open,Does not apply,5,7,11.5,Fareham,180,21-01-2021,165,92,73,19,Good,20-03-2018,Richmond Rise,Portchester,,Fareham,Hampshire,PO16 8DG,www.northernfederation.org.uk,02392370693,Mr,John,Bailey,Executive Headteacher,2
235,116031,2310,850/2310,Poulner Infant School and Nursery,Local authority maintained schools,Open,Does not apply,2,7,11.8,New Forest,210,21-01-2021,246,133,113,29,Good,06-03-2019,North Poulner Road,,,Ringwood,Hampshire,BH24 3LA,www.poulnerinfantschool.com/,01425472338,Mrs,J,Conner,Headteacher,2
237,148216,2312,850/2312,Halterworth Primary School,Academies,Open,Does not apply,4,11,2.8,Test Valley,436,21-01-2021,435,214,221,12,Not reported,,Halterworth Lane,,,Romsey,Hampshire,SO51 9AD,www.halterworth.hants.sch.uk/,01794512028,Mr,Philip,Thomas,Headteacher,
238,116033,2313,850/2313,Park Gate Primary School,Local authority maintained schools,Open,Does not apply,4,11,9.4,Fareham,419,21-01-2021,406,193,213,38,Good,04-10-2017,Northmore Road,Park Gate,,Southampton,Hampshire,SO31 6LX,www.parkgateprimary.co.uk,01489575444,Mrs,Lindsay,McCarthy,Headteacher,2
239,116034,2314,850/2314,South Wonston Primary School,Local authority maintained schools,Open,Does not apply,4,11,8.3,Winchester,416,21-01-2021,324,152,172,27,Good,22-11-2018,Downs Road,South Wonston,,Winchester,Hampshire,SO21 3EH,http://www.southwonston.hants.sch.uk,01962881311,Ms,Jane,Bundy,Headteacher,2
240,116035,2315,850/2315,Bishopswood Infant School,Local authority maintained schools,Open,Does not apply,5,7,9.2,Basingstoke and Deane,180,21-01-2021,173,92,81,16,Good,25-04-2019,Barlows Road,,,Tadley,Hampshire,RG26 3NA,www.bishopswood-inf.hants.sch.uk,01189812836,Mr,Glen,Golding,Excecutive Headteacher,2
241,116036,2316,850/2316,Kempshott Infant School,Local authority maintained schools,Open,Does not apply,4,7,8.2,Basingstoke and Deane,270,21-01-2021,267,132,135,22,Outstanding,13-07-2007,Old Down Close,Homestead Road,Kempshott,Basingstoke,Hampshire,RG22 5LL,http://www.kempshottinfants.com,01256461795,Mrs,Nicola,Potter,Headteacher,1
242,116037,2317,850/2317,Wootey Junior School,Local authority maintained schools,Open,Does not apply,7,11,31.4,East Hampshire,240,21-01-2021,194,98,96,61,Good,14-03-2017,Wooteys Way,,,Alton,Hampshire,GU34 2JA,www.wootey-jun.hants.sch.uk/,0142082532,Mr,Tim,O'Brien,Headteacher,2
243,116038,2318,850/2318,Roman Way Primary School,Local authority maintained schools,Open,Does not apply,4,11,32.8,Test Valley,240,21-01-2021,247,118,129,81,Good,24-01-2017,Roman Way,,,Andover,Hampshire,SP10 5JY,http://www.romanwayprimary.org,01264352118,Ms,Sarah,Jones,Headteacher,2
244,116039,2319,850/2319,Old Basing Infant School,Local authority maintained schools,Open,Does not apply,5,7,3.5,Basingstoke and Deane,270,21-01-2021,254,136,118,9,Outstanding,14-02-2008,Milkingpen Lane,Old Basing,,Basingstoke,Hampshire,RG24 7DL,www.oldbasinginfants.co.uk/,01256325704,Mrs,Tracey,McCarley,Headteacher,1
245,116040,2320,850/2320,Rucstall Primary School,Local authority maintained schools,Open,Does not apply,4,11,23.4,Basingstoke and Deane,210,21-01-2021,201,109,92,47,Good,04-10-2017,Holbein Close,Black Dam,,Basingstoke,Hampshire,RG21 3EX,www.rucstall.hants.sch.uk,01256466524,Mrs,Ruth,Griffiths,Headteacher,2
246,116041,2321,850/2321,Castle Hill Infant School,Local authority maintained schools,Open,Does not apply,4,7,13.9,Basingstoke and Deane,180,21-01-2021,173,91,82,24,Outstanding,28-04-2008,Greenbank,Winklebury Way,,Basingstoke,Hampshire,RG23 8BN,www.castlehillinfantschool.org/,01256326899,Mrs,Alison,Story-Scrivens,Headteacher,1
247,116042,2322,850/2322,Scantabout Primary School,Local authority maintained schools,Open,Does not apply,4,11,5.8,Eastleigh,222,21-01-2021,224,129,95,13,Good,05-02-2019,Ionic Close,Chandler's Ford,,Eastleigh,Hampshire,SO53 2NR,www.scantabout-pri.hants.sch.uk/,02380266892,Mrs,Tina,Thomas,Headteacher,2
248,116043,2323,850/2323,Denmead Junior School,Local authority maintained schools,Open,Does not apply,7,11,13,Winchester,360,21-01-2021,330,173,157,43,Good,03-10-2019,Bere Road,Denmead,,Waterlooville,Hampshire,PO7 6PH,www.denmead-jun.hants.sch.uk,02392252735,Mr,Andy,Clarke,Headteacher,2
249,116044,2324,850/2324,Tavistock Infant School,Local authority maintained schools,Open,Does not apply,4,7,9.7,Hart,270,21-01-2021,259,123,136,25,Good,31-01-2019,Broadacres,Calthorpe Park,,Fleet,Hampshire,GU51 4EB,www.tavistockinfants.co.uk/,01252616778,Mrs,Joanne,O'connor,Headteacher,2
250,116045,2325,850/2325,Hook Junior School,Local authority maintained schools,Open,Does not apply,7,11,10.2,Hart,450,21-01-2021,459,222,237,47,Outstanding,29-03-2017,Ravenscroft,,,Hook,Hampshire,RG27 9NN,www.hook-jun.hants.sch.uk/,01256762468,Mrs,Lynn,Martin,Headteacher,1
251,116046,2326,850/2326,Olivers Battery Primary School,Local authority maintained schools,Open,Does not apply,2,11,17.7,Winchester,225,21-01-2021,209,106,103,37,Good,02-10-2019,Austen Avenue,Olivers Battery,,Winchester,Hampshire,SO22 4HP,http://www.oliversbatteryprimary.com,01962869496,Mrs,Carly,Redfern,Headteacher,2
252,116047,2328,850/2328,Oakley Infant School,Local authority maintained schools,Open,Does not apply,5,7,9.1,Basingstoke and Deane,180,21-01-2021,175,85,90,16,Outstanding,10-07-2009,Oakley Lane,Oakley,,Basingstoke,Hampshire,RG23 7JZ,www.oakley-inf.hants.sch.uk/,01256780445,Mrs,Niamh,Hutchings,Headteacher,1
253,116048,2329,850/2329,Cupernham Infant School,Local authority maintained schools,Open,Does not apply,4,7,11.5,Test Valley,270,21-01-2021,234,110,124,27,Good,05-06-2019,Bransley Close,Woodley Lane,,Romsey,Hampshire,SO51 7JT,http://www.cupernhaminfant.com,01794514494,Mr,Duncan,Wells,Headteacher,2
254,116049,2330,850/2330,Calmore Infant School,Local authority maintained schools,Open,Does not apply,4,7,18.1,New Forest,180,21-01-2021,177,92,85,32,Good,22-03-2018,Calmore Drive,Calmore,,Southampton,Hampshire,SO40 2ZZ,www.calmore-inf.hants.sch.uk/,02380865994,Mrs,Sarah,Willes,Headteacher,2
256,116051,2332,850/2332,Lymington Junior School,Local authority maintained schools,Open,Does not apply,7,11,9.1,New Forest,240,21-01-2021,253,133,120,23,Good,20-02-2018,Avenue Road,,,Lymington,Hampshire,SO41 9GP,www.lymingtonjuniorschool.org/,01590674383,Mr,Daniel,Twyman,Headteacher,2
257,116052,2335,850/2335,Mengham Junior School,Local authority maintained schools,Open,Does not apply,7,11,26.3,Havant,270,21-01-2021,240,123,117,63,Good,12-12-2018,Palmerston Road,,,Hayling Island,Hampshire,PO11 9ET,www.menghamjunior.co.uk/,02392462162,Mr,Edward,Harrison,Acting Co-Headteacher,2
258,116053,2336,850/2336,Bidbury Junior School,Local authority maintained schools,Open,Does not apply,7,11,23,Havant,240,21-01-2021,239,130,109,55,Good,05-06-2019,Fraser Road,Bedhampton,,Havant,Hampshire,PO9 3EF,www.bidburyjuniorschool.co.uk,02392474513,Mrs,Emily,Burns (Acting),Headteacher,2
259,116054,2339,850/2339,Velmead Junior School,Local authority maintained schools,Open,Does not apply,7,11,4.5,Hart,417,21-01-2021,423,208,215,19,Good,11-01-2018,Velmead Road,,,Fleet,Hampshire,GU52 7LG,http://www.velmead.hants.sch.uk,01252628704,Mr,Andy,Howard,,2
260,116055,2341,850/2341,Manor Field Infant School,Local authority maintained schools,Open,Does not apply,5,7,33.1,Basingstoke and Deane,180,21-01-2021,157,74,83,52,Good,11-11-2021,Haydn Road,Brighton Hill,,Basingstoke,Hampshire,RG22 4DH,http://www.manorfieldinfant.co.uk,01256350300,Mr,Lawrence,Britt,Headteacher,2
261,116056,2342,850/2342,Liphook Infant School,Local authority maintained schools,Open,Does not apply,5,7,9,East Hampshire,270,21-01-2021,266,127,139,24,Inadequate,09-12-2021,Avenue Close,The Avenue,Liphook Infant School,Liphook,Hampshire,GU30 7QE,www.liphookfederation.co.uk,01428722036,Mrs,Michele,Frost,Executive Headteacher,4
262,116057,2344,850/2344,Chalk Ridge Primary School,Local authority maintained schools,Open,Does not apply,4,11,19.3,Basingstoke and Deane,420,21-01-2021,374,190,184,72,Good,24-04-2019,Sullivan Road,Brighton Hill,,Basingstoke,Hampshire,RG22 4ER,www.chalkridgepri.hants.sch.uk/,01256461733,Miss,Sue,Jackson,Headteacher,2
263,116058,2345,850/2345,Crofton Hammond Junior School,Local authority maintained schools,Open,Does not apply,7,11,6,Fareham,248,21-01-2021,248,134,114,15,Outstanding,19-09-2012,Mancroft Avenue,Stubbington,,Fareham,Hampshire,PO14 2DE,www.croftonhjs.co.uk,01329664451,Miss,Alison,Russell,Headteacher,1
264,116059,2346,850/2346,Potley Hill Primary School,Local authority maintained schools,Open,Does not apply,5,11,13.1,Hart,260,21-01-2021,268,134,134,35,Good,25-04-2019,Potley Hill Road,,Potley Hill Primary School,Yateley,Hampshire,GU46 6AG,http://www.potleyhill.hants.sch.uk,01252876106,Mr,Brent,Ellis,Headteacher,2
265,116060,2347,850/2347,Kings Copse Primary School,Local authority maintained schools,Open,Does not apply,4,11,9.5,Eastleigh,210,21-01-2021,205,107,98,19,Good,03-10-2018,Kings Copse Road,Hedge End,,Southampton,Hampshire,SO30 0PQ,www.kingscopse.co.uk/,01489785040,Mrs,Hayley,Ferguson,Headteacher,2
266,116061,2348,850/2348,Netley Abbey Junior School,Local authority maintained schools,Open,Does not apply,7,11,18.7,Eastleigh,360,21-01-2021,347,172,175,65,Good,06-02-2018,Westwood Road,Netley Abbey,,Southampton,Hampshire,SO31 5EL,http://netleyabbey-jun.hants.sch.uk/,02380453731,Mrs,Shirley,Nicholas-Bond,Headteacher,2
268,116063,2354,850/2354,Balksbury Infant School,Local authority maintained schools,Open,Does not apply,4,7,9.9,Test Valley,270,21-01-2021,263,127,136,26,Outstanding,06-03-2008,Floral Way,Salisbury Road,,Andover,Hampshire,SP10 3QP,http://www.balksburyfederation.co.uk,01264352801,Miss,Katy,Thompson,Headteacher,1
269,116064,2355,850/2355,Beech Down Primary School,Local authority maintained schools,Closed,Does not apply,4,11,,Basingstoke and Deane,,,,,,,Not reported,,Gershwin Road,Brighton Hill,,Basingstoke,Hampshire,RG22 4HQ,,,Mrs,Christine,Sloan,Headteacher,
270,116065,2357,850/2357,Petersgate Infant School,Local authority maintained schools,Open,Does not apply,4,7,14,East Hampshire,270,21-01-2021,258,129,129,36,Good,17-04-2018,Green Lane,Clanfield,,Waterlooville,Hampshire,PO8 0JU,www.petersgateinfantschool.co.uk/,02392593950,Mrs,Julie,Cook,Headteacher,2
272,116067,2361,850/2361,Springwood Junior School,Local authority maintained schools,Open,Does not apply,7,11,24.3,Havant,184,21-01-2021,189,101,88,46,Good,08-02-2017,Springwood Avenue,,,Waterlooville,Hampshire,PO7 8ED,www.springwoodjuniorschool.co.uk/,02392258011,Mrs,Jo,Livingstone,Executive Headteacher,2
273,116068,2367,850/2367,Fordingbridge Junior School,Local authority maintained schools,Open,Does not apply,7,11,14.5,New Forest,256,21-01-2021,234,136,98,34,Good,27-11-2019,Pennys Lane,,,Fordingbridge,Hampshire,SP6 1HJ,http://fordingbridgefed.co.uk/,01425652285,Mrs,Kim,Robertson,Headteacher,2
274,116069,2372,850/2372,Fordingbridge Infant School,Local authority maintained schools,Open,Does not apply,4,7,15.6,New Forest,180,21-01-2021,154,83,71,24,Good,30-01-2019,Pennys Lane,,,Fordingbridge,Hampshire,SP6 1HJ,http://fordingbridgefed.co.uk/,01425653624,Mrs,Kim,Robertson,Headteacher,2
275,116070,2373,850/2373,Netley Abbey Infant School,Local authority maintained schools,Open,Does not apply,5,7,13.9,Eastleigh,270,21-01-2021,259,121,138,36,Good,11-07-2017,Westwood Road,Netley Abbey,,Southampton,Hampshire,SO31 5EL,www.netleyabbey-inf.hants.sch.uk/,02380452263,Mrs,Shirley,Nicholas-Bond,Headteacher,2
276,116071,2376,850/2376,Greenfields Junior School,Local authority maintained schools,Open,Does not apply,7,11,14,Hart,330,21-01-2021,293,142,151,41,Good,07-03-2017,Green Lane,Hartley Wintney,,Hook,Hampshire,RG27 8DQ,www.greenoaks.org.uk,01252843822,Mrs,Sue,Tadman,Headteacher,2
277,116072,2377,850/2377,Shakespeare Junior School,Local authority maintained schools,Open,Does not apply,7,11,18.8,Eastleigh,360,21-01-2021,351,169,182,66,Good,22-09-2021,St Catherine's Road,,,Eastleigh,Hampshire,SO50 4JT,http://www.shakespearejuniorschool.co.uk,02380618905,Mr,Steve,Cox,Headteacher,2
278,116073,2378,850/2378,Marchwood Junior School,Local authority maintained schools,Open,Does not apply,7,11,11.5,New Forest,360,21-01-2021,348,177,171,40,Outstanding,01-11-2018,Main Road,Marchwood,,Southampton,Hampshire,SO40 4ZH,https://www.marchwood-jun.hants.sch.uk/,02380863105,Mr,Daniel,Hoskins,Headteacher,1
279,116074,2382,850/2382,Colden Common Primary School,Local authority maintained schools,Open,Does not apply,4,11,7.2,Winchester,420,21-01-2021,403,206,197,29,Good,21-06-2017,Upper Moors Road,Brambridge,,Eastleigh,Hampshire,SO50 6HW,http://www.coldencommon.hants.sch.uk,01962712111,Mrs,Frances,Hardy,Headteacher,2
280,116075,2383,850/2383,Mayhill Junior School,Local authority maintained schools,Open,Does not apply,7,11,16.8,Hart,280,21-01-2021,214,99,115,36,Good,04-12-2019,The Bury,Odiham,,Hook,Hampshire,RG29 1NB,http://www.mayhill.hants.sch.uk,01256702973,Mr,Tom,May,Headteacher,2
281,116076,2384,850/2384,Woolton Hill Junior School,Local authority maintained schools,Open,Does not apply,7,11,18.2,Basingstoke and Deane,180,21-01-2021,154,68,86,28,Good,23-11-2017,Woolton Hill,,,Newbury,Berkshire,RG20 9XE,www.wooltonhilljunior.co.uk,01635253364,Mr,Paul,Davies,Headteacher,2
282,116077,2386,850/2386,Woodlands Primary School,Local authority maintained schools,Closed,Does not apply,4,11,,Havant,,,,,,,Not reported,,Eagle Avenue,Cowplain,,Waterlooville,Hampshire,PO8 9XP,,,Mrs,L,Morgan,Headteacher,
283,116078,2387,850/2387,Norwood Primary School,Local authority maintained schools,Open,Does not apply,3,11,21.9,Eastleigh,390,21-01-2021,421,207,214,88,Good,20-03-2019,Chamberlayne Road,,,Eastleigh,Hampshire,SO50 5JL,http://www.norwoodprimary.com,02380322582,Mrs,Rosemary,Diskin,Headteacher,2
284,116079,2388,850/2388,Red Barn Community Primary School,Local authority maintained schools,Open,Does not apply,4,11,9.7,Fareham,240,21-01-2021,237,128,109,23,Outstanding,23-03-2012,Linden Lea,Portchester,,Fareham,Hampshire,PO16 8HJ,www.redbarnprimaryschool.co.uk/,01329288011,Ms,Sam,Way,Headteacher,1
285,116080,2389,850/2389,Newlands Primary School,Local authority maintained schools,Open,Does not apply,5,11,7.3,Hart,210,21-01-2021,178,99,79,13,Good,07-12-2016,Dungells Lane,,,Yateley,Hampshire,GU46 6EY,www.newlandsprimary.net/,01252871188,Mr,William,Neighbour,Headteacher,2
286,116081,2391,850/2391,Rookwood Infants' School,Local authority maintained schools,Closed,Does not apply,5,7,,Eastleigh,,,,,,,Not reported,,Penshurst Way,Boyatt Wood,,Eastleigh,Hampshire,SO50 4RJ,,,,,,Headteacher,
287,116082,2392,850/2392,Four Lanes Infant School,Local authority maintained schools,Open,Does not apply,4,7,12,Basingstoke and Deane,270,21-01-2021,259,132,127,31,Outstanding,21-10-2010,Hanmore Road,Chineham,,Basingstoke,Hampshire,RG24 8PQ,http://www.fourlanesinfants.co.uk,01256324256,Mrs,Jacqueline,Mallaby,Headteacher,1
288,116083,2395,850/2395,Castle Primary School,Local authority maintained schools,Open,Does not apply,4,11,14.4,Fareham,420,21-01-2021,417,213,204,60,Good,15-05-2018,Castle Street,Portchester,,Fareham,Hampshire,PO16 9QQ,www.castleprimaryschool.co.uk/,02392375324,Mr,Justin,Bartlett,Headteacher,2
289,116084,2396,850/2396,Bidbury Infant School,Local authority maintained schools,Open,Does not apply,4,7,19.8,Havant,180,21-01-2021,177,101,76,35,Outstanding,10-01-2014,Fraser Road,Bedhampton,,Havant,Hampshire,PO9 3EF,www.bidbury-inf.hants.sch.uk,02392483336,Mrs,Julie,Cook (Consultant Headteacher),Headteacher,1
290,128697,2426,850/2426,Kingsteignton Junior School,Local authority maintained schools,Closed,Does not apply,,,,,,,,,,,Not reported,,,,,,,,,,,,,Headteacher,
291,128698,2429,850/2429,Modbury County Primary School,Local authority maintained schools,Closed,Does not apply,,,,,,,,,,,Not reported,,,,,,,,,,,,,Headteacher,
292,116137,2470,850/2470,Hatch Warren Infant School,Local authority maintained schools,Open,Does not apply,4,7,17.9,Basingstoke and Deane,270,21-01-2021,251,145,106,45,Good,08-03-2017,Gershwin Road,,,Basingstoke,Hampshire,RG22 4PQ,www.hwis.hants.sch.uk,01256350313,Mrs,Michelle,Moore,Headteacher,2
293,129006,2502,850/2502,Newport County Junior School,Local authority maintained schools,Closed,Does not apply,7,11,,Rushmoor,,,,,,,Not reported,,Newport Road,,,Aldershot,Hampshire,GU12 4PW,,,,,,Headteacher,
294,129007,2503,850/2503,Newport County Infant School,Local authority maintained schools,Closed,Does not apply,5,7,,Rushmoor,,,,,,,Not reported,,Newport Road,,,Aldershot,Hampshire,GU12 4PW,,,,,,Headteacher,
296,116140,2510,850/2510,Cove Junior School,Local authority maintained schools,Open,Does not apply,7,11,11.6,Rushmoor,300,21-01-2021,292,152,140,34,Good,07-06-2018,Fernhill Road,Cove,,Farnborough,Hampshire,GU14 9SA,www.covejunior.co.uk,01252542941,Mrs,Tracey,Hickie,Headteacher,2
297,116141,2511,850/2511,Cove Infant School,Local authority maintained schools,Open,Does not apply,4,7,11.5,Rushmoor,180,21-01-2021,174,90,84,20,Requires improvement,15-09-2021,92 Fernhill Road,Cove,,Farnborough,Hampshire,GU14 9DP,www.coveinfantschool.co.uk/,01252543737,Mrs,Natasha,Vass,Headteacher,3
298,116142,2512,850/2512,Tower Hill Primary School,Local authority maintained schools,Open,Does not apply,4,11,26.7,Rushmoor,420,21-01-2021,412,209,203,110,Outstanding,07-10-2011,Fowler Road,,,Farnborough,Hampshire,GU14 0BW,www.towerhill.hants.sch.uk,01252541786,Miss,Laura,Ovenden,Headteacher,1
299,129008,2513,850/2513,Fernhill County Junior School,Local authority maintained schools,Closed,Does not apply,7,11,,Rushmoor,,,,,,,Not reported,,Neville Duke Road,,,Farnborough,Hampshire,GU14 9BY,,,,,,Headteacher,
300,116143,2516,850/2516,Marlborough Infant School,Local authority maintained schools,Open,Does not apply,4,7,9,Rushmoor,150,21-01-2021,67,42,25,6,Good,06-11-2019,Redvers Buller Road,,,Aldershot,Hampshire,GU11 2HR,,01252323910,Mrs,Catherine,Miller,Interim Headteacher,2
301,116144,2517,850/2517,South Farnborough Infant School,Local authority maintained schools,Open,Does not apply,5,7,7.3,Rushmoor,360,21-01-2021,316,169,147,23,Outstanding,27-09-2013,Queen's Road,,,Farnborough,Hampshire,GU14 6JU,http://www.southfarnborough-inf.hants.sch.uk,01252543727,Miss,Helen,Fletcher Davies,Headteacher,1
302,116145,2519,850/2519,North Farnborough Infant School,Local authority maintained schools,Open,Does not apply,4,7,7.6,Rushmoor,180,21-01-2021,157,83,74,12,Outstanding,11-09-2007,Rectory Road,,,Farnborough,Hampshire,GU14 8AJ,http://www.nfis.hants.sch.uk,01252544606,Miss,Abigail,Morgan,Interim Headteacher,1
303,116146,2520,850/2520,Manor Junior School,Local authority maintained schools,Open,Does not apply,7,11,26,Rushmoor,360,21-01-2021,342,178,164,89,Good,04-03-2020,Fernhill Road,Cove,,Farnborough,Hampshire,GU14 9DX,http://www.manorjunior.com,01252544072,Mr,Mark,Sammes,Headteacher,2
304,116147,2521,850/2521,Grange Community Junior School,Local authority maintained schools,Open,Does not apply,7,11,33.5,Rushmoor,240,21-01-2021,239,114,125,80,Outstanding,05-06-2015,Wren Way,Prospect Estate,,Farnborough,Hampshire,GU14 8TA,http://www.grange.hants.sch.uk,01252542196,Ms,Paola,Burgess,Headteacher,1
306,144899,2522,850/2522,Farnborough Grange Nursery & Infant Community School,Academies,Open,Does not apply,2,7,28.4,Rushmoor,180,21-01-2021,213,110,103,44,Good,03-11-2021,Moor Road,,,Farnborough,Hampshire,GU14 8HW,www.farnboroughgrange.hants.sch.uk,01252541879,Mrs,Jenny,Cave,Headteacher,2
307,116149,2523,850/2523,Talavera Junior School,Local authority maintained schools,Open,Does not apply,7,11,12.1,Rushmoor,360,21-01-2021,379,177,202,46,Outstanding,22-11-2018,Gun Hill,,,Aldershot,Hampshire,GU11 1RG,www.talaverajunior.co.uk,01252322156,Mrs,Amanda,Webb,Headteacher,1
308,116150,2524,850/2524,Manor Infant School,Local authority maintained schools,Open,Does not apply,5,7,24.6,Rushmoor,270,21-01-2021,211,101,110,52,Outstanding,22-03-2011,Fernhill Road,Cove,,Farnborough,Hampshire,GU14 9DX,http://www.manor-inf.hants.sch.uk,01252543348,Ms,Emma,Dare,Headteacher,1
309,129009,2525,850/2525,Fernhill County Infant School,Local authority maintained schools,Closed,Does not apply,5,7,,Rushmoor,,,,,,,Not reported,,Neville Duke Road,,,Farnborough,Hampshire,GU14 9BY,,,,,,Headteacher,
310,116151,2526,850/2526,Talavera Infant School,Local authority maintained schools,Open,Does not apply,4,7,9.1,Rushmoor,270,21-01-2021,265,138,127,24,Good,18-01-2017,Gun Hill,,,Aldershot,Hampshire,GU11 1RG,www.talaverainfantschool.co.uk,01252323137,Mrs,Deborah,Cook,Headteacher,2
314,129010,2529,850/2529,Belle Vue County Infant School,Local authority maintained schools,Closed,Does not apply,5,7,,Rushmoor,,,,,,,Not reported,,Belle Vue Road,,,Aldershot,Hampshire,GU12 4RZ,,,,,,Headteacher,
315,116154,2530,850/2530,Parsonage Farm Nursery and Infant School,Local authority maintained schools,Open,Does not apply,3,7,5.6,Rushmoor,180,21-01-2021,213,119,94,12,Outstanding,11-06-2008,Cherry Tree Close,,,Farnborough,Hampshire,GU14 9TT,www.parsonagefarmschool.co.uk,01252548003,Miss,Kath,Greenway,Headteacher,1
316,116155,2531,850/2531,South Farnborough Junior School,Local authority maintained schools,Open,Does not apply,7,11,9.4,Rushmoor,380,21-01-2021,405,214,191,38,Outstanding,01-10-2014,Cunnington Road,,,Farnborough,Hampshire,GU14 6PL,http://www.southfarnborough-jun.hants.sch.uk,01252545682,Mrs,J,Byrne,Headteacher,1
319,116157,2533,850/2533,Guillemont Junior School,Local authority maintained schools,Open,Does not apply,7,11,14.8,Rushmoor,380,21-01-2021,352,186,166,52,Good,21-05-2019,Sandy Lane,,,Farnborough,Hampshire,GU14 9ES,http://www.guillemont.org.uk,01252666846,Mr,Denis,Foster,Headteacher,2
